:START_ID,:TYPE,:END_ID
author_1,AUTHORED,work_60
author_2,AUTHORED,work_60
author_1,AUTHORED,work_61
author_2,AUTHORED,work_62
author_3,AUTHORED,work_62
author_3,AUTHORED,work_63
author_4,AUTHORED,work_63
author_5,AUTHORED,work_63
author_4,AUTHORED,work_64
author_5,AUTHORED,work_65
author_6,AUTHORED,work_65
author_6,AUTHORED,work_66
author_7,AUTHORED,work_66
author_8,AUTHORED,work_66
author_7,AUTHORED,work_67
author_8,AUTHORED,work_68
author_9,AUTHORED,work_68
author_9,AUTHORED,work_69
author_10,AUTHORED,work_69
author_11,AUTHORED,work_69
author_10,AUTHORED,work_70
author_11,AUTHORED,work_71
author_12,AUTHORED,work_71
author_12,AUTHORED,work_72
author_13,AUTHORED,work_72
author_14,AUTHORED,work_72
author_13,AUTHORED,work_73
author_14,AUTHORED,work_74
author_15,AUTHORED,work_74
author_15,AUTHORED,work_75
author_16,AUTHORED,work_75
author_17,AUTHORED,work_75
author_16,AUTHORED,work_76
author_17,AUTHORED,work_77
author_18,AUTHORED,work_77
author_18,AUTHORED,work_78
author_19,AUTHORED,work_78
author_20,AUTHORED,work_78
author_19,AUTHORED,work_79
author_20,AUTHORED,work_80
author_21,AUTHORED,work_80
author_21,AUTHORED,work_81
author_22,AUTHORED,work_81
author_23,AUTHORED,work_81
author_22,AUTHORED,work_82
author_23,AUTHORED,work_83
author_24,AUTHORED,work_83
author_24,AUTHORED,work_84
author_25,AUTHORED,work_84
author_26,AUTHORED,work_84
author_25,AUTHORED,work_85
author_26,AUTHORED,work_86
author_27,AUTHORED,work_86
author_27,AUTHORED,work_87
author_28,AUTHORED,work_87
author_29,AUTHORED,work_87
author_28,AUTHORED,work_88
author_29,AUTHORED,work_89
author_30,AUTHORED,work_89
author_30,AUTHORED,work_90
author_1,AUTHORED,work_90
author_2,AUTHORED,work_90
author_1,AUTHORED,work_91
author_2,AUTHORED,work_92
author_3,AUTHORED,work_92
author_3,AUTHORED,work_93
author_4,AUTHORED,work_93
author_5,AUTHORED,work_93
author_4,AUTHORED,work_94
author_5,AUTHORED,work_95
author_6,AUTHORED,work_95
author_6,AUTHORED,work_96
author_7,AUTHORED,work_96
author_8,AUTHORED,work_96
author_7,AUTHORED,work_97
author_8,AUTHORED,work_98
author_9,AUTHORED,work_98
author_9,AUTHORED,work_99
author_10,AUTHORED,work_99
author_11,AUTHORED,work_99
author_10,AUTHORED,work_100
author_11,AUTHORED,work_101
author_12,AUTHORED,work_101
author_12,AUTHORED,work_102
author_13,AUTHORED,work_102
author_14,AUTHORED,work_102
author_13,AUTHORED,work_103
author_14,AUTHORED,work_104
author_15,AUTHORED,work_104
author_15,AUTHORED,work_105
author_16,AUTHORED,work_105
author_17,AUTHORED,work_105
author_16,AUTHORED,work_106
author_17,AUTHORED,work_107
author_18,AUTHORED,work_107
author_18,AUTHORED,work_108
author_19,AUTHORED,work_108
author_20,AUTHORED,work_108
author_19,AUTHORED,work_109
author_20,AUTHORED,work_110
author_21,AUTHORED,work_110
author_21,AUTHORED,work_111
author_22,AUTHORED,work_111
author_23,AUTHORED,work_111
author_22,AUTHORED,work_112
author_23,AUTHORED,work_113
author_24,AUTHORED,work_113
author_24,AUTHORED,work_114
author_25,AUTHORED,work_114
author_26,AUTHORED,work_114
author_25,AUTHORED,work_115
author_26,AUTHORED,work_116
author_27,AUTHORED,work_116
author_27,AUTHORED,work_117
author_28,AUTHORED,work_117
author_29,AUTHORED,work_117
author_28,AUTHORED,work_118
author_29,AUTHORED,work_119
author_30,AUTHORED,work_119
author_30,AUTHORED,work_120
author_1,AUTHORED,work_120
author_2,AUTHORED,work_120
work_1,PUBLISHED_AT,conf_0_2020
work_2,PUBLISHED_AT,conf_0_2021
work_3,PUBLISHED_AT,conf_0_2022
work_4,PUBLISHED_AT,conf_0_2023
work_5,PUBLISHED_AT,conf_0_2024
work_6,PUBLISHED_AT,conf_1_2020
work_7,PUBLISHED_AT,conf_1_2021
work_8,PUBLISHED_AT,conf_1_2022
work_9,PUBLISHED_AT,conf_1_2023
work_10,PUBLISHED_AT,conf_1_2024
work_11,PUBLISHED_AT,conf_2_2020
work_12,PUBLISHED_AT,conf_2_2021
work_13,PUBLISHED_AT,conf_2_2022
work_14,PUBLISHED_AT,conf_2_2023
work_15,PUBLISHED_AT,conf_2_2024
work_16,PUBLISHED_AT,conf_0_2020
work_17,PUBLISHED_AT,conf_0_2021
work_18,PUBLISHED_AT,conf_0_2022
work_19,PUBLISHED_AT,conf_0_2023
work_20,PUBLISHED_AT,conf_0_2024
work_21,PUBLISHED_AT,conf_1_2020
work_22,PUBLISHED_AT,conf_1_2021
work_23,PUBLISHED_AT,conf_1_2022
work_24,PUBLISHED_AT,conf_1_2023
work_25,PUBLISHED_AT,conf_1_2024
work_26,PUBLISHED_AT,conf_2_2020
work_27,PUBLISHED_AT,conf_2_2021
work_28,PUBLISHED_AT,conf_2_2022
work_29,PUBLISHED_AT,conf_2_2023
work_30,PUBLISHED_AT,conf_2_2024
work_31,PUBLISHED_AT,conf_0_2020
work_32,PUBLISHED_AT,conf_0_2021
work_33,PUBLISHED_AT,conf_0_2022
work_34,PUBLISHED_AT,conf_0_2023
work_35,PUBLISHED_AT,conf_0_2024
work_36,PUBLISHED_AT,conf_1_2020
work_37,PUBLISHED_AT,conf_1_2021
work_38,PUBLISHED_AT,conf_1_2022
work_39,PUBLISHED_AT,conf_1_2023
work_40,PUBLISHED_AT,conf_1_2024
work_41,PUBLISHED_AT,conf_2_2020
work_42,PUBLISHED_AT,conf_2_2021
work_43,PUBLISHED_AT,conf_2_2022
work_44,PUBLISHED_AT,conf_2_2023
work_45,PUBLISHED_AT,conf_2_2024
work_46,PUBLISHED_AT,conf_0_2020
work_47,PUBLISHED_AT,conf_0_2021
work_48,PUBLISHED_AT,conf_0_2022
work_49,PUBLISHED_AT,conf_0_2023
work_50,PUBLISHED_AT,conf_0_2024
work_51,PUBLISHED_AT,conf_1_2020
work_52,PUBLISHED_AT,conf_1_2021
work_53,PUBLISHED_AT,conf_1_2022
work_54,PUBLISHED_AT,conf_1_2023
work_55,PUBLISHED_AT,conf_1_2024
work_56,PUBLISHED_AT,conf_2_2020
work_57,PUBLISHED_AT,conf_2_2021
work_58,PUBLISHED_AT,conf_2_2022
work_59,PUBLISHED_AT,conf_2_2023
work_60,PUBLISHED_AT,conf_2_2024
work_61,PUBLISHED_AT,conf_0_2020
work_62,PUBLISHED_AT,conf_0_2021
work_63,PUBLISHED_AT,conf_0_2022
work_64,PUBLISHED_AT,conf_0_2023
work_65,PUBLISHED_AT,conf_0_2024
work_66,PUBLISHED_AT,conf_1_2020
work_67,PUBLISHED_AT,conf_1_2021
work_68,PUBLISHED_AT,conf_1_2022
work_69,PUBLISHED_AT,conf_1_2023
work_70,PUBLISHED_AT,conf_1_2024
work_71,PUBLISHED_AT,conf_2_2020
work_72,PUBLISHED_AT,conf_2_2021
work_73,PUBLISHED_AT,conf_2_2022
work_74,PUBLISHED_AT,conf_2_2023
work_75,PUBLISHED_AT,conf_2_2024
work_76,PUBLISHED_AT,conf_0_2020
work_77,PUBLISHED_AT,conf_0_2021
work_78,PUBLISHED_AT,conf_0_2022
work_79,PUBLISHED_AT,conf_0_2023
work_80,PUBLISHED_AT,conf_0_2024
work_81,PUBLISHED_AT,conf_1_2020
work_82,PUBLISHED_AT,conf_1_2021
work_83,PUBLISHED_AT,conf_1_2022
work_84,PUBLISHED_AT,conf_1_2023
work_85,PUBLISHED_AT,conf_1_2024
work_86,PUBLISHED_AT,conf_2_2020
work_87,PUBLISHED_AT,conf_2_2021
work_88,PUBLISHED_AT,conf_2_2022
work_89,PUBLISHED_AT,conf_2_2023
work_90,PUBLISHED_AT,conf_2_2024
work_91,PUBLISHED_AT,conf_0_2020
work_92,PUBLISHED_AT,conf_0_2021
work_93,PUBLISHED_AT,conf_0_2022
work_94,PUBLISHED_AT,conf_0_2023
work_95,PUBLISHED_AT,conf_0_2024
work_96,PUBLISHED_AT,conf_1_2020
work_97,PUBLISHED_AT,conf_1_2021
work_98,PUBLISHED_AT,conf_1_2022
work_99,PUBLISHED_AT,conf_1_2023
work_100,PUBLISHED_AT,conf_1_2024
work_101,PUBLISHED_AT,conf_2_2020
work_102,PUBLISHED_AT,conf_2_2021
work_103,PUBLISHED_AT,conf_2_2022
work_104,PUBLISHED_AT,conf_2_2023
work_105,PUBLISHED_AT,conf_2_2024
work_106,PUBLISHED_AT,conf_0_2020
work_107,PUBLISHED_AT,conf_0_2021
work_108,PUBLISHED_AT,conf_0_2022
work_109,PUBLISHED_AT,conf_0_2023
work_110,PUBLISHED_AT,conf_0_2024
work_111,PUBLISHED_AT,conf_1_2020
work_112,PUBLISHED_AT,conf_1_2021
work_113,PUBLISHED_AT,conf_1_2022
work_114,PUBLISHED_AT,conf_1_2023
work_115,PUBLISHED_AT,conf_1_2024
work_116,PUBLISHED_AT,conf_2_2020
work_117,PUBLISHED_AT,conf_2_2021
work_118,PUBLISHED_AT,conf_2_2022
work_119,PUBLISHED_AT,conf_2_2023
work_120,PUBLISHED_AT,conf_2_2024
work_2,CITES,work_1
work_3,CITES,work_2
work_4,CITES,work_3
work_5,CITES,work_4
work_6,CITES,work_5
work_7,CITES,work_6
work_8,CITES,work_7
work_9,CITES,work_8
work_10,CITES,work_9
work_11,CITES,work_10
work_12,CITES,work_11
work_13,CITES,work_12
work_14,CITES,work_13
work_15,CITES,work_14
work_16,CITES,work_15
work_17,CITES,work_16
work_18,CITES,work_17
work_19,CITES,work_18
work_20,CITES,work_19
work_21,CITES,work_20
work_22,CITES,work_21
work_23,CITES,work_22
work_24,CITES,work_23
work_25,CITES,work_24
work_26,CITES,work_25
work_27,CITES,work_26
work_28,CITES,work_27
work_29,CITES,work_28
work_30,CITES,work_29
work_31,CITES,work_30
work_32,CITES,work_31
work_33,CITES,work_32
work_34,CITES,work_33
work_35,CITES,work_34
work_36,CITES,work_35
work_37,CITES,work_36
work_38,CITES,work_37
work_39,CITES,work_38
work_40,CITES,work_39
work_41,CITES,work_40
work_42,CITES,work_41
work_43,CITES,work_42
work_44,CITES,work_43
work_45,CITES,work_44
work_46,CITES,work_45
work_47,CITES,work_46
work_48,CITES,work_47
work_49,CITES,work_48
work_50,CITES,work_49
work_51,CITES,work_50
work_52,CITES,work_51
work_53,CITES,work_52
work_54,CITES,work_53
work_55,CITES,work_54
work_56,CITES,work_55
work_57,CITES,work_56
work_58,CITES,work_57
work_59,CITES,work_58
work_60,CITES,work_59
work_61,CITES,work_60
work_62,CITES,work_61
work_63,CITES,work_62
work_64,CITES,work_63
work_65,CITES,work_64
work_66,CITES,work_65
work_67,CITES,work_66
work_68,CITES,work_67
work_69,CITES,work_68
work_70,CITES,work_69
work_71,CITES,work_70
work_72,CITES,work_71
work_73,CITES,work_72
work_74,CITES,work_73
work_75,CITES,work_74
work_76,CITES,work_75
work_77,CITES,work_76
work_78,CITES,work_77
work_79,CITES,work_78
work_80,CITES,work_79
work_81,CITES,work_80
work_82,CITES,work_81
work_83,CITES,work_82
work_84,CITES,work_83
work_85,CITES,work_84
work_86,CITES,work_85
work_87,CITES,work_86
work_88,CITES,work_87
work_89,CITES,work_88
work_90,CITES,work_89
work_91,CITES,work_90
work_92,CITES,work_91
work_93,CITES,work_92
work_94,CITES,work_93
work_95,CITES,work_94
work_96,CITES,work_95
work_97,CITES,work_96
work_98,CITES,work_97
work_99,CITES,work_98
work_100,CITES,work_99
work_101,CITES,work_100
work_102,CITES,work_101
work_103,CITES,work_102
work_104,CITES,work_103
work_105,CITES,work_104
work_106,CITES,work_105
work_107,CITES,work_106
work_108,CITES,work_107
work_109,CITES,work_108
work_110,CITES,work_109
work_111,CITES,work_110
work_112,CITES,work_111
work_113,CITES,work_112
work_114,CITES,work_113
work_115,CITES,work_114
work_116,CITES,work_115
work_117,CITES,work_116
work_118,CITES,work_117
work_119,CITES,work_118
work_120,CITES,work_119
