:ID,title,year,research_area,publication_type,:LABEL
work_110,Computational Analysis of Digital Texts: Study 110,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_111,Computational Analysis of Digital Texts: Study 111,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_112,Computational Analysis of Digital Texts: Study 112,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_113,Computational Analysis of Digital Texts: Study 113,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_114,Computational Analysis of Digital Texts: Study 114,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_115,Computational Analysis of Digital Texts: Study 115,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_116,Computational Analysis of Digital Texts: Study 116,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_117,Computational Analysis of Digital Texts: Study 117,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_118,Computational Analysis of Digital Texts: Study 118,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_119,Computational Analysis of Digital Texts: Study 119,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_120,Computational Analysis of Digital Texts: Study 120,2024,Text Analysis,conference_paper,Entity;Work;Publication
